"revista","año","numeros","titulos","resumenes"
"Análisis Económico",2010,59,"Análisis postkeynesiano de la oferta de moneda en México durante el periodo populista y neoliberal","En este trabajo se hace un análisis del comportamiento de la oferta de moneda en México desde una perspectiva postkeynesiana, cuya hipótesis de base consiste en definir a las economías como economías monetarias de producción. Se presenta una exposición de los argumentos centrales de la teoría monetaria postkeynesiana y tratamos de determinar la naturaleza de la oferta de moneda para los periodos populista y neoliberal. Para la verificación de la causalidad de la moneda crédito hacia la creación de moneda de alto poder y la relación entre la moneda y el ingreso, utilizamos las pruebas de causalidad de Granger. Los resultados arrojados nos indican que durante los dos periodos se dio un comportamiento en parte endógeno de la creación monetaria."
"Análisis Económico",2010,59,"Análisis Probit de liquidación para el estudio del riesgo sistémico generado por los hedge funds","En los últimos años, los reguladores encargados de mantener la estabilidad del sistema financiero internacional han puesto la mira en el sector de los hedge funds debido al rápido crecimiento que ha experimentado desde la década de los noventa. La escasa regulación de estos fondos de inversión alternativa que permite a sus gestores asumir un elevado nivel de riesgo, con la finalidad de obtener mayores rentabilidades, expone la relevancia que tiene la liquidación de estos fondos en la generación de riesgo sistémico. Por lo anterior, el objetivo de este trabajo es analizar un conjunto de factores internos que podrían aumentar la probabilidad de liquidación en la industria de los hedge funds. El análisis se realiza mediante un modelo Probit aplicado a la base de datos construida manualmente con la información de la revista MARHedge para el periodo 1999-2006.Clasificación JEL: G15, G23, C33."
"Análisis Económico",2010,59,"Determinantes de los precios reales del petróleo y de las materias primas no petroleras, 1980:1-2009:3","Los cambios registrados durante los últimos años en los precios de las materias primas han generado un considerable interés por parte de los investigadores empíricos. Este trabajo analiza el comportamiento de los precios reales del petróleo y de un índice agregado de las materias primas no petroleras (incluye principalmente las agrícolas, alimentos y minerales). El estudio se basa en modelos de vectores autorregresivos estructurales (svar), utilizando datos mensuales que cubren el periodo 1980:1-2009:3. Los resultados sugieren que los precios de las materias primas se incrementan frente a un aumento en el nivel de actividad industrial de las principales economías, una caída en las tasas de interés y una depreciación en el valor del dólar. A su vez, los shocks en las tasas reales de interés de los EUA explicarían un porcentaje importante de las fluctuaciones en los precios reales del petróleo.Clasificación JEL: E37, Q17."
"Análisis Económico",2010,59,"El mundo agrario en la época del Quijote","El artículo presenta un esbozo del mundo agrario en la España del siglo xvii, se abordan las transformaciones en el ambiente económico de la época, así como las modificaciones, adopción y extensión de cultivos y las formas de propiedad adoptadas. Bajo el término de “el tiempo del Quijote” se procede al análisis acerca de las circunstancias por las cuales transitaban las estructuras económicas y los ciclos de la agricultura española en esa centuria. Se estudia el devenir de la crisis agraria española acudiendo a la literatura especializada y apoyados, como telón de fondo, en una óptica cervantina."
"Análisis Económico",2010,59,"El uso de la garantía en los mercados de crédito: una revisión de la literatura empírica","En los mercados de crédito, la garantía se considera un mecanismo que mitiga la selección adversa y el racionamiento del crédito, así como otras ineficiencias que surgen cuando los prestatarios mantienen información privada ex ante. En la actualidad existe un interés por analizar los determinantes de la aportación de garantías, así como por conocer el papel que éstas desempeñan en los préstamos bancarios. El objetivo del presente trabajo es aportar una revisión de la literatura empírica sobre los determinantes de la aportación de garantías en los préstamos para lograr, de esta manera, una mejor comprensión del estado actual del tema.Clasificación JEL: G10, D82, G20."
"Análisis Económico",2010,59,"Factores de competitividad del cultivo de lechuga en Santa María Jajalpa, Estado de México","El objetivo del presente trabajo fue conocer los factores que inciden en la competitividad del cultivo de la lechuga Lactuca sativa L. en Santa María Jajalpa, Municipio de Tenango del Valle, Estado de México. Es importante investigar las condiciones tecnoeconómicas y sociales de los pequeños productores, para ello se utilizó el enfoque propuesto por el Instituto Interamericano de Cooperación para la Agricultura (iica). La principal venaja competitiva de los productores de la comunidad bajo estudio fue su cercanía con la Ciudad de México, además de obtener rendimientos relativamente elevados gracias a condiciones agroecológicas favorables y aspectos técnicos. En cambio, presentaron desventajas competitivas por la falta de crédito, las restricciones del minifundio y el mayor costo de la mano de obra. Los apoyos son escasos por parte de los gobiernos federal y estatal.Clasificación JEL: O13, Q1, Q12, R5."
"Análisis Económico",2010,59,"Fusiones, adquisiciones y alianzas estratégicas en la industria alimentaria mexicana: balance y perspectivas","La industria mexicana de alimentos y bebidas experimenta una profunda reestructuración asociada con una fuerte dinámica de fusiones y adquisiciones, emprendida por inversionistas extranjeros y las grandes empresas mexicanas de esta industria, estimuladas por intereses industriales y financieros. Para enfrentar esta reestructuración los grupos mexicanos deben resolver el dilema de combinar la internacionalización y la transferencia inter generacional de la estructura de propiedad y de gestión. Las inversiones extranjeras en México pueden lograr resultados de menor impacto que las inversiones realizadas por las empresas autóctonas. Estas últimas, en la medida que puedan apoyarse en las “mejores prácticas” internacionales de negocios y tecnológicas, podrán crear barreras a la entrada de competidores extranjeros y utilizar las asimetrías de recursos entre países para crear una ventaja competitiva."
"Análisis Económico",2010,59,"Impacto salarial del milagro económico español, 1994-2007","Como consecuencia de los logros alcanzados por la economía española durante el periodo 1994-2007 se ha llegado a hablar del ‘milagro económico español’. El carácter exitoso del capitalismo español se justifica por el notable incremento experimentado en los ingresos totales medios, lo que le ha servido para disfrutar de un proceso de convergencia en términos de PIB per cápita con respecto a las principales potencias capitalistas. La estrategia competitiva española ha presentado un perfil competitivo bajo y se ha articulado en torno a dos ejes: una política de rentas orientada a la contención salarial y una política de empleo dirigida a la desregulación del mercado de fuerza de trabajo. Estos factores, junto a la aplicación de una serie de políticas de demanda de carácter restrictivo derivadas de la integración monetaria europea y a la persistencia de un elevado nivel de desempleo crónico, explican la singular dinámica salarial experimentada en la economía española. El objetivo del artículo es valorar el impacto sobre los salarios de este proceso de crecimiento."
"Análisis Económico",2010,59,"Productividad total de los factores y crecimiento manufacturero en México: un análisis regional, 1993-2007","El mantenimiento de un crecimiento sostenible de la economía en el largo plazo requiere que el aumento de la productividad total de los factores (ptf) provenga, principalmente, del cambio tecnológico y no de los otros cuatro componentes que explican sus variaciones. Así, esta investigación busca encontrar evidencias sobre el particular. No obstante, con la escasa información disponible y por medios indirectos no se encontraron indicios de que el cambio tecnológico, en lo fundamental, esté impulsando el aumento de la productividad y, en consecuencia, mediante el mismo, un aumento significativo del producto de la economía sostenible en el largo plazo."
"Análisis Económico",2010,60,"Costos de localización: una aproximación teórica a la economía espacial","Con la presente investigación se pretende abordar de manera teórica los condicionantes principales de la localización espacial de las actividades económicas, las cuales pueden agregarse en un único coeficiente, al que llamaremos costos de localización, el cual incluye los efectos de la renta del espacio o territorio, costos de transportación de los productos al mercado y economías de aglomeración (vistas como dotación de infraestructura para servicios urbanos). Aunado a ello, se establece, a partir de los costos de localización, los determinantes que permiten determinar la existencia de una relación inversa entre estos y la cuota de ganancia, manifestando su relevancia en la disminución o aumento de esta última. En este sentido, la localización de las actividades productivas dependerá de que la productividad, según los coeficientes técnicos respectivos, sea lo suficientemente ventajosa como para subsanar dichos costos, en el entendido de que se deseé mantener la misma tasa de ganancia."
"Análisis Económico",2010,60,"Estrategias de fijación de precios no lineales","La Estrategia de fijación de precios (EFP) sigue siendo el mecanismo más eficiente que utilizan las empresas para recuperar los costos realizados y asegurarse una determinada rentabilidad, es decir es un medio para capturar valor, siempre y cuando estas empresas hayan sido capaces de generarlo.Dicha estrategia se ha sofisticado a través de los años, buscando siempre hacer la captura de valor en la forma más eficiente posible. El sustancial incremento en el poder de compra del consumidor, la gran variedad de bienes y servicios que se ofrecen, el gran monto de información disponible, la facilidad de la interacción entre clientes y proveedores, la posibilidad de comparar diferentes precios, la forma de colectar información acerca de mercados, consumidores y competidores, hacen necesario analizar los diferentes mecanismos de captura de valor, a través del estudio de la formulación estratégica de fijación de precios.Clasificación JEL: D12"
"Análisis Económico",2010,60,"Ilustración, progreso y bienestar: crítica al historicismo","Este artículo trata sobre una carencia importante en la política de formación de capital humano, en específico, sobre la falta de ilustración, en el sentido kantiano, que ha existido para implementar dicha política en la perspectiva de una sociedad organizada que se desenvuelva con base en el conocimiento orientado al bienestar.El planteamiento de Kant, sintetiza las tendencias actuales de nuestro sistema civilizatorio basado en el principio de la razón, la libertad cognitiva y crítica, la consolidación de instituciones al servicio del desarrollo humano y, con ello, la conformación de una sociedad orientada al mejoramiento material y espiritual del hombre.En tal sentido, presenta la interpretación de Popper como una posibilidad de precisar la teoría del Estado cosmopolita para nuestra civilización, al margen de futurismos mesiánicos o históricos que tienden en la práctica a sobredeterminar al individuo eliminando su libertad.Por último, muestra las limitaciones actuales de la tecnocracia para propiciar la libertad de pensamiento y la crítica en los sistemas educativos porque margina la enseñanza de las humanidades como elemento constitutivo del desarrollo integral del individuo que se forma en dichos sistemas."
"Análisis Económico",2010,60,"La crisis financiera del Japón de los años 90: algunas lecciones de la década perdida, 1992-2003","Ante el riesgo de que la apreciación del yen (acordada en septiembre de 1985 en la reunión del G5 en el Hotel Plaza de Nueva York), afectara el ritmo de crecimiento económico, el Banco de Japón puso en marcha una política monetaria expansiva entre 1986 y 1989. El banco logró su objetivo, sin generar presiones en el índice general de precios. Sin embargo, alimentó sendas burbujas en el mercado de valores y en el sector inmobiliario. La primera se convirtió en crac en 1989 y la segunda en 1991. Los bancos resultaron severamente afectados por las pérdidas registradas en sus carteras de valores y de créditos. Al no haberse realizado oportunamente el rescate bancario necesario, el crédito se contrajo y algunos bancos quebraron o fueron fusionados. Todo ello contribuyó a una década de estancamiento de la economía japonesa: de 1992 a 2003.Clasificación JEL: F02, G21, N15."
"Análisis Económico",2010,60,"La descentralización fiscal y su efecto sobre la corrupción","El presente estudio busca revisar el efecto de la descentralización sobre la corrupción, dando énfasis al caso de los gobiernos locales de México. Se revisa la literatura sobre el tema, mostrando que el aumento en la corrupción está asociado a la mayor complejidad de la economía y a la participación del gobierno; además se resaltan los factores que contribuyen a la corrupción. Concluyendo que ella genera un costo en eficiencia, al disminuir la inversión y la tasa de crecimiento del producto, además de otras distorsiones. La literatura reciente sobre federalismo fiscal, respecto al efecto de la descentralización en la corrupción, muestra resultados concluyentes, aunque la evidencia empírica parece apoyar la hipótesis de que la descentralización reduce la corrupción en países desarrollados, efecto que no se observa en los países en vías de desarrollo. Se intenta determinar la relación entre la descentralización y la corrupción a nivel local en México, encontrando, mediante la aplicación del método de mínimos cuadrados en dos etapas, con información de los 31 estados de México, evidencia de que una mayor descentralización puede servir de control de la corrupción en México."
"Análisis Económico",2010,60,"La economía rentista en Venezuela","Considerando el caso venezolano, en cuanto a que la renta petrolera representa una cortina de humo con respecto al rezago en la industrialización, en la competitividad, y aún en la producción de bienes salario; este trabajo aborda el análisis de una economía rentista, en donde esta forma del beneficio es predominante con respecto a otra, basada en el desarrollo de las ganancias de productividad. El trabajo aborda un hecho relevante: la mobilidad de las elites venezolanas y su incidencia en las reorganizaciones administrativas tanto en Petroleos de Venezuela como en el sector público.En otro sentido, si por el lado de la oferta, lo sobresaliente fue el cambio en las formas de propiedad, por el de la demanda, repecutió en un gasto social alto, amplió la base política de Chávez y sacó a la economía de la crisis 2002/2003. Permitió además que distintos sectores empresariales, particularmente el bancario, obtuvieran substanciosos beneficios.Clasificación JEL: B25, G28, I38, N16."
"Análisis Económico",2010,60,"La escena agonística de la integración territorial supranacional. Las políticas locales de integración supranacional","Los referentes teóricos de la doctrina funcional de la ramificación internacional; el enfoque de los Acuerdos de Integración Regional; los nuevos paradigmas de la Competitividad sistémica internacional; y el regionalismo abierto de la CEPAL, entre otros, junto a las propuestas del desarrollo sustentable y el aporte del ILPES participan en la vasta escena agonística de los planteamientos teóricos que se utilizan para abordar la cuestión de la integración regional. El artículo busca construir referenciales teóricos para el diseño, análisis y estrategias de las políticas locales de integración supranacional en América Latina."
"Análisis Económico",2010,60,"Los apoyos institucionales ante la situación de crisis mundial","Ante la actual situación de crisis, las instituciones nacionales e internacionales han diseñado medidas tendentes a dinamizar la economía que había entrado en clara recesión. La economía de las empresas se ha resentido, no sólo por la situación de crisis financiera internacional, también por los efectos derivados en tiempos de crisis en cuanto a la aplicación de una norma de valoración: la del valor razonable. Estar obligado a valorar ciertos activos financieros a su valor razonable, cuando la cotización de los títulos representativos de capital ha perdido gran porcentaje de su valor, motivará que los inversores reconozcan grandes cantidades de pérdidas. El conjunto de medidas adoptadas a nivel mundial ante este problema deberán abarcar tanto los aspectos económicos como los de suministro de información contable real y útil.Clasificación JEL: G01, G38, H12"
"Análisis Económico",2010,60,"Población, territorio y desigualdad en la zona Puebla-Tlaxcala","Considerando que una sociedad es más desarrollada en cuanto goza de características óptimas para su pleno progreso y basados en un análisis regional, en este artículo se busca relacionar el nivel de desarrollo o de bienestar de las distintas regiones en las que han sido clasificados los territorios de Puebla y Tlaxcala, con ciertas características físicas y demográficas, con el objetivo de identificar causalidades relevantes.Clasificación JEL: R10, R11, R13."
"Análisis Económico",2010,60,"Recesiones regionales en México: diversidad y causas","Se examina las fases recesivas de los ciclos económicos de México desde una perspectiva regional, mediante información anual del PIBE agregado y por sectores de sus entidades federativas, a partir de la cual y siguiendo el enfoque de Mitchell, se propone nuevos índices como los de difusión regional, sectorial y secto-regional, semejanza recesional y resistencia recesional. Los cuales permiten mostrar que efectivamente las manifestaciones regionales de las recesiones nacionales son diversas y que la semejanza recesional y la correlación entre la tasa de crecimiento económico estatal y la tasa de crecimiento económico de EUA son posibles factores explicativos de las diferencias encontradas."
"Análisis Económico",2010,60,"Sistemas locales de producción en Brasil: indicadores cuantitativos, estudios de campo y políticas","En el contexto del reciente debate sobre los sistemas locales de producción (o agrupamientos productivos), este trabajo presenta una metodología para rastrear, identificar y caracterizar las estructuras productivas locales, con un enfoque en las políticas de apoyo. La metodología presentada consiste en la aplicación de índices de especialización, en conjunto, unido con indicadores regionales de ciencia y tecnología. Estos índices permiten no sólo la identificación estadística de los sistemas locales, así como las características de su estructura industrial y de ciencia y tecnología, especialmente con respecto a los indicadores de insumos innovadores y productos de la innovación. A partir de estos resultados, es posible diseñar directrices para políticas de apoyo al desarrollo de los productores locales."
"Análisis Económico",2011,61,"Análisis comparativo entre las perspectivas económica y administrativa de la determinación del nivel de producción y beneficio de la empresa","En este trabajo aportamos elementos de respuesta a dos preguntas que surgen cuando se confronta la determinación del nivel de producción y beneficio de la empresa del análisis económico contra los planteamientos del análisis administrativo. Estas preguntas son: ¿por qué la empresa no puede aumentar su beneficio mediante el incremento de su producción y ventas como lo plantea el análisis administrativo?, ¿cuál es el interés de desarrollar una empresa, si inevitablemente esta tendrá un beneficio igual a cero en el largo plazo? El análisis comparativo que realizamos sitúa los elementos de respuesta centrales, respectivamente, en el supuesto de rendimientos decrecientes y en la distinción beneficio contable-beneficio económico. "
"Análisis Económico",2011,61,"Consumo de energía eléctrica para uso doméstico en San Juan del Río, Querétaro","Se estimó un modelo econométrico para el consumo de la energía eléctrica en el municipio de San Juan del Río, Queretaro, y determinar qué variables lo afectan. Para realizar dicha estimación se usó información estadística mensual comprendiendo el periodo enero de 2003 a mayo de 2010. La elasticidad precio propia obtenida en el corto y largo plazo fue de -0.6943 y -2.2616, lo que corresponde a un servicio inelástico y elástico, respectivamente.La elasticidad ingreso de la demanda en el corto y largo plazo fue de 0.4320 (servicio normal necesario) y 1.4073 (servicio normal de lujo).Clasificación JEL: C51"
"Análisis Económico",2011,61,"Electricidad, características y opciones de reforma para México","En este artículo se analizan las peculiaridades de la producción y el suministro de electricidad que determinan la organización de esta industria. Se examinan distintas opciones de reforma conforme a la experiencia internacional en materia de liberalización y regulación, así como el diseño institucional apropiado. Se analiza de igual forma la industria eléctrica en México y se plantean opciones de reforma.Clasificación JEL: K21, K23, L51, L52, Q48"
"Análisis Económico",2011,61,"Integración financiera regional en la zona Asia Pacífico","La integración regional se ha reforzado como parte de las respuestas defensivas ante la crisis financiera internacional. En la región del Asia Pacífico se ha mantenido el avance de proyectos de integración financiera que incluyen mecanismos de intercambio de divisas, sistemas de información y supervisión de políticas económicas, hasta debates académicos sobre integración profunda en uniones monetarias y moneda común. Los acuerdos y propuestas de integración entre los países del Asia Pacífico muestran una dinámica que combinan nuevas ideas y voluntades políticas, junto a las diferencias por el liderazgo regional y el mantenimiento de alianzas en temas militares y de seguridad."
"Análisis Económico",2011,61,"Keynes y la síntesis neoclásica/ keynesiana frente a la crisis y los movimientos de capital internacional","Esta investigación tiene como objetivo contrastar las ideas de Keynes y de la síntesis neoclásica/keynesiana en relación con el funcionamiento del sistema capitalista y al movimiento de capitales. Para lograr este objetivo, se estudia la importancia del mercado accionario y el mercado de crédito en Keynes, así como las fases inherentes del movimiento del sistema capitalista y se analiza el comportamiento del flujo de capitales, desde el punto de vista de los seguidores de Keynes. Adicionalmente, se describe la concepción teórica de la síntesis neoclásica/keynesiana sobre la desviación del equilibrio de pleno empleo y se estudian los principios teóricos del funcionamiento de la economía cuando ésta se abre. Finalmente, se ofrecen las conclusiones."
"Análisis Económico",2011,61,"Los esquemas de corresponsalía bancaria en México: ¿solución al problema de acceso a servicios financieros?","Es de suma importancia que el sistema financiero formal incluya a todos los sectores de la población, proporcionándole los servicios financieros básicos. Sin embargo, existe en México un segmento de la población que no cuenta con acceso a estos servicios financieros, lo que origina condiciones de pobreza y subdesarrollo económico. En los últimos años se han elaborado diversas estrategias para aumentar la inclusión financiera y bancarizar a los sectores de la población que por diversas situaciones se encuentran marginados del sistema financiero formal. Para hacer frente a este problema es preciso eliminar las barreras que impiden el acceso a servicios financieros. En este sentido, el presente artículo analiza el papel financiero del corresponsal bancario, en el contexto del problema de acceso a los servicios financieros para el caso de México. Asimismo, se presenta un análisis con base en la experiencia de algunos países de América Latina."
"Análisis Económico",2011,61,"Relación empírica entre la productividad y las exportaciones manufactureras mexicanas, 2000-2008","El presente trabajo tiene como objetivo analizar la influencia de diferentes variables sobre las exportaciones manufactureras mexicanas en el periodo que va de enero de 2000 a enero de 2008. Para ello se estiman dos modelos estacionarios de regresión múltiple. En el primer modelo se analizan los efectos de la productividad laboral, el tipo de cambio real y los salarios, entre otras variables, sobre las exportaciones referidas. En el segundo, la productividad factorial total reemplaza a la productividad laboral, con el fin de estudiar cómo influye esta variable sobre las exportaciones de manufacturas. Los efectos que éstas tienen en las exportaciones manufactureras confirman su importancia para la toma de decisiones en el diseño de política económica."
"Análisis Económico",2011,61,"Una revisión de la teoría del consumidor: la versión de la teoría del error","En la presente investigación se argumenta acerca de los elementos fundamentales de la teoría tradicional del consumidor, con la finalidad de que sirvan de referencia para observar, mediante el constructo de la creencia, un planteamiento alternativo, pero no sustitutivo, de dicha teoría del consumidor. En esta versión, enmarcada en el contexto de una teoría del error, se estipulan los elementos básicos que permiten la determinación de la elección con base en creencias restringidas por la incertidumbre y potencializadas por los aspectos cognitivos de los individuos electores; vistos como procesadores de información. Ello remite a soluciones de elección del consumidor del tipo heurístico, condición que determina que las elecciones de dicho individuo puedan no ser las mejores pero sí resulten en soluciones satisfactorias.Clasificación JEL: B41, D11."
"Análisis Económico",2011,61,"¿A qué apunta el Banco Central de México?","El Índice de Precios al Consumidor (IPC) es un índice de Laspeyres con un método plutocrático. Este documento tiene tres propósitos. El primero es armar un IPC democrático. El segundo propósito es construir un índice alternativo utilizando la mediana de la distribución del gasto. El tercero es compilar índices de precios para cada uno de los diez deciles de gasto. La preocupación por el uso de una única medición de precios tiene implicaciones políticas. Además, los resultados empíricos se analizan en términos de la economía política de la medición de precios y en términos de la historia de la política monetaria."
"Análisis Económico",2011,62,"Concentración y prácticas no competitivas en las cadenas logísticas del comercio exterior: el caso del Perú","En el estudio se evalúan las condiciones de concentración en las diferentes etapas de las cadenas logísticas de un conjunto de productos de comercio exterior del Perú. Se revisa la legislación nacional relativa al análisis de las estructuras de mercado. Se desarrolla un modelo conceptual que determina los precios o ingresos unitarios del productor-exportador como un residuo entre los precios al consumidor en el mercado de destino y las condiciones de mercado de las diferentes etapas de una cadena logística. A partir de los estudios previos y las evidencias existentes se concluye que la mayor parte de los mercados analizados tienen condiciones entre moderada y altamente concentrados, lo cual no es un buen indicio para apoyar el desempeño de las exportaciones. Este artículo es metodológicamente útil para otros países de América Latina.Clasificación JEL: F14, K21, L11, L40 y L91"
"Análisis Económico",2011,62,"De la curva de Phillips a la NAIRU: un análisis empírico","de Precios y Cotizaciones de la Bolsa Mexicana de Valores IPC) bajo el supuesto de que lavolatilidad del activo subyacente es conducida por un GARCH-M(1,1). El modelo propuestocombina las características de los modelos estructurales y estadísticos; es decir, se suponeque la volatilidad es conducida por un GARCH-M(1,1) calibrado con datos históricos, peroel precio de equilibrio de la opción se basa en argumentos de no arbitraje. En este contexto, el modelo es capaz de reflejar los cambios en la volatilidad condicional del activo subyacente adecuadamente. Los resultados de la aplicación numérica del modelo sugieren que éste puede ser capaz de explicar desviaciones sistemáticas asociadas con el modelo clásico de Black y Scholes (1973). "
